Z,M,Group,Date
8.681,1.93,1,8/19/2017
6.057,2.84,1,1/31/2019
5.743,2.48,1,2/10/2019
5.465,1.64,1,2/20/2019
6.054,1.54,1,2/21/2019
6.178,2.03,1,2/22/2019
5.981,1.86,1,3/5/2019
5.864,2.15,1,3/6/2019
5.192,1.73,1,3/6/2019
6.196,3.02,1,3/22/2019
6.372,2.51,1,3/23/2019
6.111,1.79,1,3/28/2019
6.156,1.93,1,3/28/2019
4.915,2.02,1,5/14/2019
5.57,1.82,1,5/15/2019
6.189,3.31,1,6/19/2019
6.099,2.37,1,6/19/2019
6.208,2.38,1,6/19/2019
7.051,2.17,1,6/21/2019
6.22,1.89,1,6/23/2019
6.049,2.18,1,8/22/2019
5.691,2.54,1,8/22/2019
6.209,1.96,1,11/5/2019
6.37,2.95,1,3/12/2020
6.993,1.72,1,3/22/2020
6.29,1.83,1,5/8/2020
6.747,1.87,1,9/20/2020
7.276,1.82,1,10/19/2020
6.79,2.4,1,11/4/2020
6.874,2.09,1,11/28/2020
6.69,1.59,1,11/28/2020
6.726,1.64,1,11/28/2020
6.482,1.28,1,11/29/2020
6.247,1.46,1,11/30/2020
6.667,1.74,1,12/3/2020
8.625,1.58,1,12/19/2020
6.113,1.37,1,1/3/2021
6.006,2.01,1,1/4/2021
7.382,1.87,1,1/28/2021
7.123,1.74,1,1/28/2021
7.359,2.37,1,1/28/2021
7.381,1.5,1,1/28/2021
6.283,1.89,1,3/15/2021
6.265,1.56,1,3/15/2021
6.838,1.94,1,3/20/2021
6.679,1.5,1,3/20/2021
6.653,1.95,1,4/1/2021
6.711,2.3,1,4/2/2021
6.621,1.98,1,4/5/2021
6.628,2.17,1,4/5/2021
6.668,2.14,1,4/6/2021
6.732,1.4,1,4/9/2021
6.54,2.39,1,4/10/2021
6.62,1.61,1,4/15/2021
7.016,1.89,1,4/16/2021
7.082,1.77,1,4/16/2021
6.583,2.51,1,4/20/2021
6.624,1.89,1,4/20/2021
6.682,1.92,1,4/20/2021
6.502,1.98,1,4/24/2021
6.389,1.91,1,4/25/2021
6.664,1.63,1,4/25/2021
6.599,1.37,1,4/25/2021
6.505,2.11,1,4/25/2021
6.662,2.35,1,4/28/2021
6.806,2.16,1,5/5/2021
7.072,2.05,1,5/10/2021
6.782,1.6,1,6/3/2021
6.813,1.38,1,6/3/2021
6.434,2.15,1,6/8/2021
6.437,2.73,1,6/8/2021
6.488,2.72,1,6/10/2021
6.634,1.72,1,6/10/2021
6.715,1.6,1,6/11/2021
6.704,1.83,1,6/12/2021
6.566,2.82,1,6/14/2021
6.641,1.88,1,6/14/2021
6.573,1.4,1,6/15/2021
6.495,1.57,1,6/15/2021
6.654,2.15,1,6/15/2021
6.463,1.14,1,6/17/2021
6.488,1.9,1,6/17/2021
6.613,1.29,1,6/17/2021
6.425,2.36,1,6/17/2021
6.436,1.41,1,6/17/2021
6.436,2.5,1,6/17/2021
6.649,2.55,1,6/17/2021
6.372,2,1,6/17/2021
6.551,1.64,1,6/18/2021
6.668,1.73,1,6/24/2021
6.204,1.73,1,7/7/2021
6.375,1.84,1,7/7/2021
6.672,2.31,1,7/9/2021
6.657,1.8,1,7/9/2021
6.704,1.55,1,7/9/2021
6.506,1.79,1,7/20/2021
6.851,1.86,1,7/21/2021
6.824,1.44,1,7/21/2021
6.565,1.19,1,7/30/2021
7.15,1.84,1,8/7/2021
6.351,1.49,1,9/22/2021
6.439,1.83,1,9/23/2021
6.469,1.84,1,9/23/2021
6.525,1.71,1,9/24/2021
6.479,2.14,1,9/28/2021
6.234,1.96,1,10/17/2021
6.293,2.87,1,10/18/2021
6.383,1.91,1,10/20/2021
6.496,2.07,1,10/26/2021
6.257,2.3,1,11/4/2021
6.419,2.48,1,11/5/2021
6.713,2.17,1,11/8/2021
6.674,2.19,1,11/13/2021
6.583,2.03,1,11/20/2021
6.249,2.15,1,11/26/2021
6.328,2.62,1,11/26/2021
6.548,2.41,1,12/28/2021
7.101,2.57,1,1/15/2022
6.699,2.15,1,2/4/2022
6.785,2.34,1,2/7/2022
6.544,2.07,1,2/10/2022
5.746,2.59,1,2/24/2022
6.186,2.51,1,3/9/2022
7.029,2.27,1,3/25/2022
5.974,1.98,1,5/8/2022
7.648,2.55,1,6/3/2022
6.463,2.51,1,6/4/2022
5.978,2.09,1,7/2/2022
6.157,2.15,1,7/31/2022
6.636,2.03,1,11/3/2022
6.621,2.13,1,11/20/2022
6.529,2.44,1,2/18/2023
6.849,2.12,1,2/18/2023
6.399,2.03,1,2/27/2023
6.484,2,1,2/28/2023
6.43,2.12,1,2/28/2023
6.884,2.3,1,3/18/2023
6.758,1.95,1,3/19/2023
4.562,1.47,2,5/12/2018
4.488,1.85,2,5/13/2018
3.6,1.8,2,5/15/2018
4.836,1.8,2,5/16/2018
4.098,2.71,2,5/18/2018
4.465,2.79,2,5/18/2018
4.685,1.76,2,5/19/2018
4.488,1.96,2,5/20/2018
4.242,2.92,2,5/20/2018
4.505,2.1,2,5/24/2018
4.153,2.4,2,5/29/2018
4.433,2.11,2,6/1/2018
1.932,1.97,2,6/8/2018
4.694,1.62,2,6/19/2018
4.296,1.95,2,6/19/2018
3.375,1.57,2,6/24/2018
4.61,2.13,2,6/27/2018
4.423,2.19,2,6/27/2018
4.206,2.78,2,6/28/2018
4.017,2.72,2,6/28/2018
4.676,2.02,2,6/29/2018
4.033,1.64,2,6/29/2018
3.399,2.88,2,6/29/2018
4.595,1.68,2,6/30/2018
3.927,2.95,2,6/30/2018
4.997,1.85,2,6/30/2018
4.256,2.72,2,7/1/2018
4.412,2.33,2,7/2/2018
2.812,1.62,2,7/2/2018
2.397,1.49,2,7/3/2018
5.049,2.6,2,7/3/2018
4.376,2.88,2,7/9/2018
4.248,1.69,2,7/9/2018
4.556,2.29,2,7/9/2018
4.721,1.67,2,7/9/2018
3.693,3.1,2,7/12/2018
4.086,1.59,2,7/12/2018
3.252,1.7,2,7/12/2018
2.861,1.66,2,7/12/2018
4.106,2.81,2,7/14/2018
4.431,1.96,2,7/18/2018
4.368,1.89,2,7/25/2018
3.399,1.71,2,7/25/2018
2.617,1.79,2,7/25/2018
4.497,2.67,2,8/1/2018
3.644,1.66,2,8/1/2018
4.133,2.46,2,8/6/2018
4.18,2.54,2,8/11/2018
4.448,2.47,2,8/14/2018
4.362,1.8,2,8/30/2018
5.002,2.14,2,9/29/2018
5.123,2.09,2,9/29/2018
4.986,1.83,2,12/23/2018
3.968,2.98,2,12/23/2018
4.376,2.48,2,12/23/2018
4.591,2.21,2,12/23/2018
4.125,2.25,2,12/23/2018
4.422,3.2,2,12/23/2018
4.035,1.86,2,12/23/2018
4.563,1.74,2,12/23/2018
3.497,2.03,2,3/9/2019
